diameter;length;concentricity
10.024;15.002;0.009
10.024;15;0.015
10.022;15.004;0.016
10.025;14.999;0.005
10.026;15.005;0.011
10.022;15.006;0.015
10.024;15.003;0.022
10.02;15.003;0.008
10.021;15;0.007
10.018;15.001;0.019
10.019;15.002;0.012
10.022;15.001;0.009
10.021;15.002;0.004
10.023;15.002;0.005
10.028;15.003;0.005
10.019;15.004;0.012
10.021;15.005;0.013
10.019;15.001;0.021
10.024;15.001;0.016
10.021;15.006;0.003
10.025;15.006;0.018
10.018;15.005;0.012
10.023;15.005;0.004
10.026;15.007;0.007
10.026;15.007;0.002
10.022;15.002;0.002
10.016;15.006;0.018
10.024;15;0.008
10.019;15.004;0.014
10.022;15.001;0.007
10.026;15.002;0.003
10.025;15.001;0.009
10.023;15.006;0.002
10.024;15.005;0.007
10.018;15.001;0.008
10.023;15.004;0.016
10.016;15.006;0.006
10.023;15.006;0.006
10.025;15.004;0.005
10.019;15.005;0.001
10.019;15.006;0.005
10.02;15.008;0.011
10.026;15.003;0.012
10.028;15.004;0.001
10.028;15.004;0.016
10.019;15.003;0.001
10.023;15.006;0.016
10.015;15.002;0.001
10.022;15.006;0.011
10.021;15.003;0.016
10.025;15.005;0.013
10.026;15.004;0.006
10.023;15.004;0.005
10.02;15.003;0.011
10.023;15.004;0.02
10.016;15.001;0.007
10.021;15.006;0.006
10.025;15.002;0.007
10.024;15.007;0.013
10.018;15.005;0.012
10.028;15.003;0.007
10.023;15.002;0.011
10.024;15.004;0.001
10.026;15.007;0.011
10.024;15.006;0.01
10.024;15.002;0.009
10.025;15.004;0.01
10.023;15.006;0.021
10.026;15.004;0.013
10.022;15.007;0.009
10.021;15;0.005
10.022;15.003;0.019
10.02;15.004;0.016
10.028;15.006;0.015
10.024;15.007;0.009
10.022;15.004;0.001
10.022;15.005;0.013
10.021;15.006;0.005
10.02;15.006;0.011
10.019;15.007;0.009
10.022;15.003;0.008
10.019;15.006;0.01
10.027;15.003;0.008
10.016;15.005;0.006
10.021;15.008;0.008
10.018;15.002;0.01
10.018;15.005;0.012
10.02;15.004;0.004
10.026;15.006;0.017
10.025;15.005;0.006
10.022;15.005;0.004
10.026;15.007;0.008
10.021;15.005;0.002
10.026;15.01;0.013
10.015;15.007;0.002
10.019;15.004;0.014
10.023;15.008;0.014
10.021;15.004;0.003
10.022;15.008;0.011
10.02;15.005;0.007
10.028;15.006;0.002
10.018;15.009;0.001
10.024;15.006;0.002
10.025;15.004;0.005
10.025;15.002;0
10.024;15.008;0.014
10.024;15.004;0.001
10.025;15.004;0.005
10.022;15.006;0.017
10.023;15.006;0.012
10.027;15.007;0.004
10.025;15.006;0.007
10.021;15.006;0.018
10.02;15.005;0.001
10.024;15.007;0.014
10.025;15.005;0.02
10.022;15.009;0.004
10.02;15.006;0.012
10.022;15.007;0.004
10.023;15.003;0.011
10.021;15.003;0.013
10.022;15.006;0.017
10.025;15.002;0.018
10.027;15.006;0.014
10.017;15.006;0.015
10.024;15.007;0.001
10.019;15.006;0.01
10.022;15.004;0.017
10.025;15.008;0.016
10.019;15.007;0.018
10.025;15.008;0.015
10.02;15.007;0.015
10.023;15.005;0
10.025;15.006;0.014
10.02;15.005;0.015
10.02;15.006;0.002
10.017;15.004;0.018
10.027;15.008;0
10.027;15.01;0.008
10.025;15.006;0.001
10.023;15.008;0.001
10.024;15.006;0.015
10.016;15.005;0.007
10.03;15.004;0.015
10.023;15.006;0.003
10.025;15.008;0.011
10.024;15.004;0.014
10.024;15.01;0.009
10.025;15.008;0.011
10.021;15.007;0.003
10.024;15.009;0.017
10.017;15.007;0.009
10.026;15.004;0.01
10.026;15.007;0.011
10.02;15.01;0.005
10.022;15.003;0.011
10.026;15.002;0.015
10.023;15.007;0.007
10.022;15.007;0.009
10.023;15.007;0.012
10.022;15.002;0.014
10.022;15.009;0.019
10.021;15.007;0.021
10.023;15.006;0.01
10.026;15.006;0.02
10.014;15.007;0.009
10.026;15.005;0.021
10.019;15.006;0.005
10.025;15.009;0.012
10.022;15.011;0.014
10.022;15.007;0.017
10.019;15.011;0.012
10.023;15.009;0.014
10.019;15.008;0.015
10.016;15.009;0.012
10.02;15.006;0.01
10.021;15.007;0.002
10.025;15.005;0.014
10.018;15.007;0.01
10.02;15.01;0.014
10.018;15.01;0.004
10.02;15.007;0.018
10.019;15.009;0.008
10.024;15.01;0.015
10.025;15.009;0.011
10.03;15.008;0.009
10.023;15.01;0.008
10.025;15.007;0.008
10.026;15.008;0.011
10.023;15.008;0.011
10.013;15.004;0.017
10.022;15.007;0.009
10.024;15.009;0.008
10.022;15.01;0.01
10.024;15.009;0.009
10.021;15.009;0.012
10.024;15.01;0.013
10.022;15.005;0.011
10.021;15.008;0.016
10.022;15.009;0.008
10.026;15.008;0.005
10.023;15.006;0.009
10.021;15.006;0.013
10.023;15.009;0.005
10.016;15.01;0.011
10.022;15.009;0.012
10.027;15.007;0.018
10.024;15.009;0.013
10.024;15.01;0.009
10.022;15.008;0.012
10.025;15.014;0.009
10.029;15.011;0.008
10.023;15.008;0.01
10.017;15.008;0.012
10.019;15.005;0.008
10.024;15.009;0.005
10.022;15.01;0.026
10.021;15.009;0.006
10.026;15.005;0.016
10.018;15.009;0.005
10.018;15.01;0.002
10.026;15.009;0.01
10.021;15.008;0.017
10.023;15.007;0.009
10.017;15.01;0.017
10.024;15.008;0.012
10.022;15.008;0.016
10.029;15.007;0.006
10.02;15.007;0.02
10.02;15.009;0.006
10.014;15.006;0.009
10.026;15.01;0.008
10.019;15.008;0.001
10.02;15.007;0.011
10.019;15.009;0.012
10.024;15.005;0.002
10.02;15.013;0.017
10.018;15.006;0.016
10.029;15.01;0.018
10.015;15.007;0.015
10.024;15.007;0.011
10.022;15.01;0.009
10.015;15.007;0.006
10.025;15.01;0.009
10.021;15.008;0.019
10.024;15.012;0.012
10.019;15.009;0.012
10.02;15.012;0.016
10.023;15.009;0.002
10.02;15.007;0.002
10.019;15.007;0.016
10.019;15.013;0.009
10.024;15.011;0.004
10.024;15.01;0.005
10.021;15.013;0.012
10.022;15.008;0.004
10.022;15.014;0.008
10.021;15.009;0.008
10.025;15.007;0.018
10.021;15.01;0.011
10.021;15.01;0.002
10.021;15.011;0.007
10.018;15.009;0.013
10.024;15.01;0.011
10.018;15.012;0.016
10.02;15.01;0.017
10.024;15.011;0.014
10.019;15.009;0.008
10.019;15.008;0.011
10.022;15.005;0.008
10.022;15.01;0.001
10.02;15.01;0.013
10.021;15.008;0.003
10.014;15.008;0.012
10.015;15.012;0.009
10.019;15.009;0.004
10.015;15.007;0.013
10.017;15.012;0.01
10.031;15.012;0.016
10.018;15.008;0
10.019;15.012;0.009
10.021;15.01;0.005
10.019;15.004;0.001
10.021;15.011;0.017
10.019;15.013;0.005
10.014;15.008;0.019
10.016;15.008;0.011
10.022;15.007;0.013
10.022;15.009;0.014
10.02;15.01;0.013
10.018;15.012;0.014
10.02;15.013;0.011
10.017;15.015;0.014
10.017;15.012;0.007
10.016;15.011;0.02
10.023;15.01;0.01
10.019;15.006;0.01
10.018;15.011;0.004
10.024;15.01;0.02
10.018;15.009;0.009
10.014;15.013;0.008
10.023;15.007;0.003
10.029;15.011;0.004
10.024;15.01;0.014
10.022;15.009;0.014
10.026;15.013;0.002
10.026;15.011;0.017
9.992;15.001;0.014
9.995;14.999;0.013
9.994;15.001;0.011
9.998;15.004;0.006
9.997;15.003;0.013
10.004;15.005;0.006
9.99;14.999;0.01
9.993;15.001;0.015
9.999;15;0.012
9.998;15.001;0.018
9.996;14.998;0.01
9.996;15.001;0.01
10;14.999;0.007
9.997;14.997;0.01
9.994;15;0.018
9.997;14.997;0.017
9.996;15.002;0.005
9.999;15.001;0.02
9.996;14.997;0.009
9.994;15.002;0.014
10;14.999;0.005
9.996;15.002;0.013
9.994;15.004;0.011
9.997;15.004;0.02
9.993;14.999;0.01
9.992;14.997;0.009
9.999;15.001;0.012
9.993;15.002;0.018
9.999;15.002;0.011
9.997;14.999;0.026
10;14.998;0.017
9.995;15.003;0.013
9.996;15;0.014
9.993;15;0.004
9.993;15.004;0.001
9.995;15.002;0.015
9.998;15.002;0.005
9.999;15;0.008
9.995;14.998;0.021
9.992;15.004;0.008
9.998;14.998;0.011
9.992;15.002;0.002
10.001;15;0.005
9.996;15;0.016
9.991;15;0.014
9.999;15;0.008
9.997;14.999;0.008
10.001;15.001;0.008
9.997;15;0.015
10.006;15.001;0.006
9.996;15.003;0.01
9.994;15.003;0.002
10;14.999;0.006
9.998;15.005;0.018
10.001;15.001;0.007
10.003;15.001;0.015
9.998;15.001;0.004
9.995;15.002;0.011
9.996;15.002;0.012
9.996;15.003;0.006
9.998;15.004;0.007
9.994;15;0.001
9.996;15.002;0.014
9.996;14.999;0.018
9.997;15.002;0.014
9.998;15;0.008
9.994;14.999;0.01
9.998;14.999;0.01
9.994;15.003;0.002
10;15.001;0.003
9.997;14.997;0.011
9.995;15.001;0.009
9.993;15.004;0.013
9.995;14.999;0.009
9.999;15.001;0.018
9.998;15.001;0.01
9.995;15.005;0.016
9.998;15.003;0.006
10;15.003;0.008
9.995;15;0.012
10.001;15.004;0.008
9.999;14.999;0.003
9.991;15.004;0.005
9.999;15;0.008
10.002;14.995;0.024
9.994;15.002;0.019
9.995;15.005;0.006
10.004;15.001;0.005
9.999;15.003;0.013
9.997;15.003;0.012
9.995;15.003;0.003
9.993;15.002;0.011
9.997;15.004;0.002
10.003;14.999;0.013
9.996;15.002;0.005
10;15.005;0.008
9.99;15.001;0.012
9.997;15.002;0.007
10.002;15.007;0.007
9.997;15.003;0.007
9.997;14.999;0.014
9.999;15;0.007
9.995;15.003;0.008
10.001;15.001;0.012
10;15;0.005
10.001;15.002;0.003
9.994;15.004;0.004
9.999;15.004;0.012
10;15.003;0.011
10.002;15.001;0.003
9.994;15.003;0.011
9.996;15.001;0.016
9.998;15.003;0.016
10;15.003;0.007
10.003;15.004;0.019
10.002;15;0.016
9.995;15.004;0.006
9.998;15.003;0.019
9.99;14.998;0.003
9.999;15.003;0.013
9.996;15.002;0.018
9.997;15;0.004
10.004;15.001;0.01
10.001;15.001;0.008
9.996;15.007;0.019
9.997;15.006;0.001
10.002;14.999;0.015
10;15.004;0.011
9.997;15;0.002
10;15.002;0.006
9.997;15.003;0.019
9.995;15.004;0.01
9.999;15.004;0.002
9.997;15.001;0.01
9.997;15.006;0.004
9.998;15.001;0.005
10;15.002;0.01
9.994;15.006;0.001
9.999;15.001;0.019
9.998;15.006;0.02
10.004;15.004;0.016
10.003;15.002;0.013
9.996;15.007;0.022
9.998;15.005;0.004
9.996;15;0.017
9.998;15.005;0.005
10;15.004;0.008
10.004;15.008;0.01
10.002;15.002;0.017
9.995;15.004;0.004
9.999;15.005;0.009
10.002;15.009;0.009
9.991;15.003;0.027
10;15.006;0.006
9.997;15.004;0.009
9.995;15.003;0.023
9.994;15.001;0.018
10.001;15.005;0.009
9.997;15.005;0.007
9.998;15;0.011
9.996;15.004;0.013
10;15.002;0.011
9.997;15.005;0.004
10;15;0.002
10;15.005;0.006
9.997;15.003;0.025
10.006;15.003;0.018
10.003;15.004;0.01
9.999;15.004;0.004
9.997;15.007;0.005
10.002;15.001;0.006
9.997;15.006;0.019
9.994;15.004;0.005
10.001;15.006;0.013
9.996;15.004;0.019
10.002;15.003;0.017
10.002;15.007;0.013
10;15.007;0.013
9.999;15.004;0.009
10;14.999;0.014
9.996;15.007;0.004
10.003;15.002;0.006
9.998;15.006;0.009
9.997;15.006;0.019
9.996;15.004;0.008
10.007;15.001;0.019
9.993;15.004;0.014
9.996;15.004;0.012
10.001;15.006;0.017
10;15.005;0.012
9.994;15.007;0.01
9.998;15.007;0.011
9.994;15.005;0.004
9.995;15.007;0.014
10.001;15.007;0.025
10;15.006;0.012
9.994;15.002;0.012
10.003;15.002;0.002
10.003;15.002;0.003
9.999;15.004;0.01
9.996;15.004;0.007
9.999;15.005;0.01
9.996;15.005;0.001
10.001;15.004;0.002
10.001;15.005;0.013
10.002;15.003;0.015
9.997;15.004;0.001
10.001;15.006;0.002
10.006;15.006;0.005
10.002;15.005;0.013
10.004;15.003;0.008
9.998;15.002;0.017
9.997;15.004;0.007
10.003;15.006;0.004
9.997;15.006;0.002
9.999;15.005;0.005
10.001;15.006;0.001
9.997;15.004;0.012
9.999;15.001;0.011
9.993;15.004;0.014
10.003;15.002;0.005
10.003;15.004;0.008
10.002;15.005;0.007
10.003;15.005;0.011
9.998;15.003;0.001
10.001;15.001;0.013
10;15.003;0.016
10.003;15.009;0.013
10.001;15.008;0.005
10;15.007;0.009
9.994;15.002;0.007
9.999;15.008;0.006
10.002;15.01;0.001
10.003;15.007;0.005
10.002;15.005;0.015
10.001;15.006;0.004
9.998;15.008;0.012
10.001;15.007;0.019
10;15.009;0.007
9.998;15.006;0.022
10;15.006;0.01
10;15.008;0.001
10.005;15.007;0.011
9.998;15.006;0.014
10.003;15.005;0.006
9.996;15.007;0.005
10.007;15.007;0.015
10.006;15.005;0.003
9.997;15.008;0.006
10.001;15.007;0.007
9.999;15.008;0.013
10.006;15.003;0.011
10.001;15.005;0.021
9.996;15.003;0.008
10.004;15.005;0.007
9.999;15.012;0.012
9.999;15.006;0.012
10.01;15.005;0.016
9.999;15.008;0.01
10.003;15.008;0.015
9.999;15.007;0.012
9.994;15.006;0.002
9.999;15.008;0.013
10.003;15.003;0
9.996;15.008;0.014
9.995;15.009;0.011
10.004;15.007;0.007
10.003;15.01;0.001
10.005;15.008;0.002
9.999;15.006;0.01
10.001;15.006;0.001
10.003;15.006;0.007
9.996;15.009;0.004
10;15.006;0.017
10.001;15.004;0.015
10.001;15.008;0.008
10.001;15.011;0.017
10.003;15.009;0.005
9.994;15.01;0.001
10;15.005;0.014
9.996;15.007;0
10.004;15.005;0.012
10.008;15.006;0.009
10.006;15.007;0.014
9.996;15.008;0.007
9.999;15.005;0.024
9.998;15.01;0.016
10.003;15.008;0
9.998;15.008;0.019
9.999;15.008;0.003
10.006;15.006;0.005
10.002;15.005;0.01
10.001;15.005;0.012
10.001;15.009;0.003
10.006;15.007;0.011
10.002;15.008;0.006
10;15.007;0.004
10.002;15.01;0.012
10.004;15.007;0.003
10.004;15.004;0.008
10.002;15.006;0.012
10.003;15.01;0.008
9.996;15.007;0.011
10.001;15.009;0.016
9.996;15.005;0.006
10.001;15.006;0.004
10.003;15.009;0.011
10.002;15.007;0.011
10.003;15.009;0.011
10.008;15.007;0.014
10.001;15.008;0.001
10.002;15.009;0.002
10.006;15.009;0.008
9.998;15.009;0.02
10.002;15.009;0.006
10.003;15.006;0.005
10.003;15.006;0.01
10.002;15.008;0.008
10.004;15.009;0.004
10.002;15.01;0.007
10.001;15.011;0.007
10;15.007;0.017
10.004;15.008;0.005
10.002;15.007;0.012
10.004;15.007;0.015
10.007;15.008;0.012
10.001;15.007;0.022
10.005;15.009;0.013
10.005;15.01;0.015
9.998;15.008;0.009
9.996;15.01;0.003
9.997;15.009;0.015
9.999;15.009;0.008
10;15.007;0.015
10.001;15.007;0.017
9.998;15.009;0.018
10.006;15.009;0.002
10.005;15.005;0.012
10.001;15.008;0.012
10;15.01;0.011
9.998;15.01;0.006
10.004;15.01;0.018
10.004;15.005;0.011
10;15.005;0.006
10;15.008;0.002
10.002;15.01;0.014
10.008;15.01;0.01
10.002;15.005;0.016
10.001;15.008;0.012
10.002;15.008;0.013
9.998;15.007;0.015
10.004;15.005;0.003
10.007;15.01;0.013
10.01;15.008;0.006
10.005;15.008;0.009
10.006;15.009;0.01
10;15.01;0.011
10.002;15.011;0.014
10;15.008;0.011
10.001;15.01;0.005
10.008;15.009;0.006
9.998;15.01;0.012
10.005;15.004;0.012
10.004;15.011;0.003
10.002;15.009;0.012
10.011;15.01;0.004
10.001;15.01;0.013
9.998;15.009;0.006
10.002;15.005;0.003
9.999;15.009;0.014
10.006;15.009;0.013
10.002;15.008;0.008
9.999;15.009;0.008
10.003;15.009;0.014
9.998;15.013;0.012
9.997;15.009;0.015
10.004;15.009;0.008
10.003;15.01;0.004
9.995;15.009;0.016
10.005;15.011;0.009
10.008;15.007;0.008
9.999;15.006;0.003
10.003;15.008;0.011
10.004;15.011;0.013
10.006;15.011;0.017
10.008;15.006;0.003
10.011;15.01;0.018
10.004;15.01;0.006
10.002;15.005;0.012
9.999;15.01;0.008
10;15.011;0.011
10;15.011;0.007
10.004;15.01;0.002
10.008;15.007;0.002
9.996;15.011;0.017
10.005;15.01;0.008
10.002;15.011;0.027
9.998;15.009;0.009
10.004;15.012;0.01
10.01;15.012;0.007
10.003;15.012;0.016
10.001;15.011;0.02
10.001;15.005;0.02
10.007;15.008;0.008
10.006;15.013;0.017
10.001;15.008;0.017
10.004;15.008;0.015
10.008;15.01;0.007
10.006;15.006;0.012
10.005;15.009;0.009
10.006;15.01;0.01
10.003;15.008;0.012
9.999;15.011;0.013
10.002;15.01;0.001
10.008;15.012;0.017
10.004;15.008;0.01
10.003;15.009;0.001
10.002;15.013;0.015
10;15.011;0.008
10.002;15.012;0.004
10.001;15.006;0.018
10.003;15.013;0.011
10.006;15.011;0.013
10.009;15.01;0.015
10.002;15.011;0.017
10.003;15.013;0.003
10.005;15.011;0.005
10.007;15.006;0.002
10.006;15.01;0.01
9.999;15.016;0.014
10.005;15.01;0.02
10.005;15.012;0.013
10.003;15.012;0.013
10.006;15.011;0.017
10.003;15.012;0.009
10.014;15.011;0.023
10.006;15.011;0.01
10.001;15.011;0.016
10.003;15.011;0.021
10.004;15.011;0.014
10.004;15.014;0.008
10.008;15.013;0.005
10.009;15.013;0.014
10.004;15.011;0.008
10.001;15.012;0.009
10.006;15.013;0.021
10.003;15.012;0.02
10.008;15.013;0.003
10.004;15.012;0.004
10.007;15.013;0.009
10.003;15.015;0.013
10.006;15.016;0.006
10.006;15.013;0.008
10.005;15.014;0.004
10.008;15.014;0.013
10.004;15.013;0.013
10.002;15.012;0.015
10.004;15.011;0.015
10.002;15.014;0.002
10.002;15.014;0.018
10.009;15.015;0.018
10.007;15.014;0.021
10.007;15.011;0.006
10.007;15.009;0.015
10;15.013;0.012
9.999;15.015;0.018
10.004;15.012;0.015
10.004;15.009;0.022
10.01;15.012;0.007
10.006;15.014;0.02
10.006;15.012;0.011
10.006;15.014;0.002
10.005;15.014;0.009
10.005;15.01;0.013
10.005;15.014;0.007
10.005;15.017;0.004
10.013;15.015;0.015
10.006;15.012;0.007
10.005;15.011;0.013
10.003;15.014;0.01
10.002;15.01;0.004
10.01;15.016;0.017
10.005;15.014;0.016
10.006;15.017;0.005
10.004;15.01;0.003
10.003;15.015;0.021
10.009;15.015;0.008
10.003;15.013;0.006
10.008;15.014;0.023
10.004;15.011;0.006
10.001;15.013;0.006
10.001;15.015;0.027
10.007;15.018;0.013
10.004;15.014;0.007
10.006;15.015;0.014
10.007;15.017;0.016
10.009;15.014;0.014
10.003;15.016;0.014
10.008;15.013;0.003
